entry_time,spot_price,strike,ce_symbol,pe_symbol,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_time,pe_exit_time,ce_exit_reason,pe_exit_reason,ce_pnl,pe_pnl,total_pnl,exit_time,cum_pnl
2021-01-01 09:20:00,14020.7,14000,NIFTY07JAN2114000CE,NIFTY07JAN2114000PE,131.15,117.15,169.0,56.4,2021-01-04 15:15:00,2021-01-04 09:15:00,Held,PE SL hit,2838.7499999999995,-4556.250000000001,-1717.5000000000014,2021-01-04 15:15:00,-1717.5000000000014
2021-01-08 09:20:00,14235.9,14250,NIFTY14JAN2114250CE,NIFTY14JAN2114250PE,101.7,120.25,248.1,52.0,2021-01-11 15:15:00,2021-01-11 09:15:00,Held,PE SL hit,10979.999999999998,-5118.75,5861.249999999998,2021-01-11 15:15:00,4143.749999999996
2021-01-15 09:20:00,14597.55,14600,NIFTY21JAN2114600CE,NIFTY21JAN2114600PE,130.6,135.05,55.95,323.45,2021-01-18 09:15:00,2021-01-18 15:15:00,CE SL hit,Held,-5598.749999999999,14129.999999999998,8531.25,2021-01-18 15:15:00,12674.999999999996
2021-01-22 09:20:00,14587.7,14600,NIFTY28JAN2114600CE,NIFTY28JAN2114600PE,128.55,147.05,55.5,355.6,2021-01-22 15:00:00,2021-01-25 15:15:00,CE SL hit,Held,-5478.750000000001,15641.25,10162.5,2021-01-25 15:15:00,22837.499999999996
2021-01-29 09:20:00,13953.7,13950,NIFTY04FEB2113950CE,NIFTY04FEB2113950PE,210.85,209.15,100.7,102.35,2021-01-29 15:03:00,2021-02-01 13:00:00,CE SL hit,PE SL hit,-8261.25,-8010.000000000001,-16271.25,2021-02-01 15:15:00,6566.249999999996
2021-02-05 09:20:00,14990.05,15000,NIFTY11FEB2115000CE,NIFTY11FEB2115000PE,143.3,187.7,191.05,84.25,2021-02-08 15:15:00,2021-02-08 10:03:00,Held,PE SL hit,3581.25,-7758.749999999999,-4177.499999999999,2021-02-08 15:15:00,2388.7499999999973
2021-02-12 09:20:00,15196.2,15200,NIFTY18FEB2115200CE,NIFTY18FEB2115200PE,133.85,136.7,176.85,68.35,2021-02-15 15:15:00,2021-02-15 10:11:00,Held,PE SL hit,3225.0,-5126.25,-1901.25,2021-02-15 15:15:00,487.49999999999727
2021-02-19 09:20:00,15057.05,15050,NIFTY25FEB2115050CE,NIFTY25FEB2115050PE,138.95,145.2,43.8,376.65,2021-02-22 11:26:00,2021-02-22 15:15:00,CE SL hit,Held,-7136.249999999999,17358.75,10222.5,2021-02-22 15:15:00,10709.999999999996
2021-02-26 09:20:00,14846.2,14850,NIFTY04MAR2114850CE,NIFTY04MAR2114850PE,173.7,188.7,85.05,184.0,2021-02-26 15:15:00,2021-03-01 15:15:00,CE SL hit,Held,-6648.749999999999,-352.49999999999915,-7001.249999999998,2021-03-01 15:15:00,3708.749999999998
2021-03-12 09:20:00,15317.85,15300,NIFTY18MAR2115300CE,NIFTY18MAR2115300PE,164.9,136.0,79.6,369.85,2021-03-12 13:43:00,2021-03-15 15:15:00,CE SL hit,Held,-6397.500000000001,17538.75,11141.25,2021-03-15 15:15:00,14849.999999999998
2021-03-19 09:20:00,14442.15,14450,NIFTY25MAR2114450CE,NIFTY25MAR2114450PE,207.75,201.9,347.05,98.6,2021-03-22 15:15:00,2021-03-19 14:16:00,Held,PE SL hit,10447.5,-7747.500000000001,2699.999999999999,2021-03-22 15:15:00,17549.999999999996
2021-04-09 09:20:00,14830.55,14850,NIFTY15APR2114850CE,NIFTY15APR2114850PE,147.0,168.45,13.6,538.35,2021-04-12 10:15:00,2021-04-12 15:15:00,CE SL hit,Held,-10005.0,27742.500000000004,17737.500000000004,2021-04-12 15:15:00,35287.5
2021-04-16 09:20:00,14603.65,14600,NIFTY22APR2114600CE,NIFTY22APR2114600PE,154.6,149.9,31.55,280.8,2021-04-19 09:17:00,2021-04-19 15:15:00,CE SL hit,Held,-9228.75,9817.5,588.75,2021-04-19 15:15:00,35876.25
2021-04-23 09:20:00,14391.4,14400,NIFTY29APR2114400CE,NIFTY29APR2114400PE,167.4,182.15,186.25,90.9,2021-04-26 15:15:00,2021-04-26 13:53:00,Held,PE SL hit,1413.7499999999995,-6843.75,-5430.0,2021-04-26 15:15:00,30446.25
2021-04-30 09:20:00,14761.25,14750,NIFTY06MAY2114750CE,NIFTY06MAY2114750PE,188.0,182.9,42.05,196.0,2021-05-03 09:16:00,2021-05-03 15:15:00,CE SL hit,Held,-10946.25,982.4999999999995,-9963.75,2021-05-03 15:15:00,20482.5
2021-05-14 09:20:00,14715.9,14700,NIFTY20MAY2114700CE,NIFTY20MAY2114700PE,144.0,127.95,256.0,63.35,2021-05-17 15:15:00,2021-05-17 10:11:00,Held,PE SL hit,8400.0,-4845.0,3555.0,2021-05-17 15:15:00,24037.5
2021-05-21 09:20:00,15013.35,15000,NIFTY27MAY2115000CE,NIFTY27MAY2115000PE,138.7,112.75,232.6,55.5,2021-05-24 15:15:00,2021-05-21 14:34:00,Held,PE SL hit,7042.5,-4293.75,2748.75,2021-05-24 15:15:00,26786.25
2021-05-28 09:20:00,15434.3,15450,NIFTY03JUN2115450CE,NIFTY03JUN2115450PE,109.1,128.85,156.75,55.3,2021-05-31 15:15:00,2021-05-31 14:00:00,Held,PE SL hit,3573.7500000000005,-5516.25,-1942.4999999999995,2021-05-31 15:15:00,24843.75
2021-06-04 09:20:00,15686.75,15700,NIFTY10JUN2115700CE,NIFTY10JUN2115700PE,106.0,121.75,117.6,55.7,2021-06-07 15:15:00,2021-06-07 14:18:00,Held,PE SL hit,869.9999999999995,-4953.75,-4083.7500000000005,2021-06-07 15:15:00,20760.0
2021-06-11 09:20:00,15814.4,15800,NIFTY17JUN2115800CE,NIFTY17JUN2115800PE,103.25,99.25,51.0,70.0,2021-06-14 09:23:00,2021-06-14 15:15:00,CE SL hit,Held,-3918.75,-2193.75,-6112.5,2021-06-14 15:15:00,14647.5
